,Cod. Prod,Nome,Margem,Pr. Venda
150,f2101222,BISC.ORQUIDEA TORTISSIMAS CHOCOLATE,50,1.99
151,f1271,MAIONESE QUERO SACHE,50,2.2
152,f72594,MAIONESE QUERO POTE,50,6.99
153,f7298,MAIONESE LIZA TRAD.PET,50,5.99
154,f2008211,SAB.LIQ.PREMISSE CLASSIC ECO BLUE C/V,50,10.99
155,f7664,INSET.AERO.MAT INSET MULTI INSET GTS 33%,50,9.99
156,f4368,INSET.AERO.MAT INSET SEM CHEIRO GTS 33%,50,9.99
157,fgenerico,LUVA PLASTICA (CRISTAL) INOVEN (BUFFET),50,2.99
158,f5564,AM.BABY SOFT TOQUE CUIDADO BRANCO,50,7.2
159,f7747,AM.BABY SOFT TOQUE MACIEZ ROSA,50,7.2
160,f2601221,AROMA ARTIF.BAUNILHA MAVALERIO,50,3.5
161,f2601224,CAFE NESCAFE TRADICAO FORTE L300P250G LT,50,19.99
162,f2601223,BISC.ORQUIDEA TORTISSIMAS MORANGO,50,1.99
163,f2601222,BISC.ORQUIDEA TORTISSIMAS CHOC+LEITE,50,1.99
164,f5440,GELADINHO AMERICANO SORTIDO,50,8.99
165,f4369,INSET.ESPIRAL BOA NOITE ORIGINAL (CAIXA),50,2.99
166,f1338,COPO P.DIVINA MESA 180ML BCO.INMETRO,50,6.99
167,f72236,MILHO VERDE QUERO LT.,50,3.5
168,fgenerico,MASCARA DESC.NAYR TRIPLA C/50,50,29.5
169,f4352,INSET.AP.PAST.MAT INSET BI.+4 REFIL,50,18.5
170,f451,DETER.LIQ.YPE COCO,50,3.2
171,f8024,LIMPADOR PERF.CASA&PF.BELA FLORE (VERDE),50,5.99
172,f72583,ALCOOL GEL LIMPS 70 GL (NR.ONU-117),50,9.99
173,f7501,MASSA D.BENTA LASANHA DIR.FORNO TRADIC.,50,3.2
174,f2991,SAL REFINADO DIANA,50,2.99
175,f03156,AP.B.PRESTOB.ULTRAGRIP AZUL,50,3.5
176,f2150,PALITO DIVINA MESA (BAMBU),50,0.99
177,f1202222,LUSTRA MOVEIS LIMPS LAVANDA,50,4.5
178,f1202223,LUSTRA MOVEIS LIMPS FLORAL,50,4.5
179,f6008,DESOD.SAN.PEDRA LIMPS EUCALIPTO,50,2.2
